# pixel_index	counts_u16	rel_intensity
373.000000	1178	0.0179751278
374.000000	1330	0.0202944991
375.000000	1136	0.0173342489
376.000000	1265	0.0193026627
377.000000	1398	0.0213321126
378.000000	1071	0.0163424125
379.000000	1097	0.0167391470
380.000000	1289	0.0196688792
381.000000	1293	0.0197299153
382.000000	1418	0.0216372930
383.000000	1403	0.0214084077
384.000000	1216	0.0185549706
385.000000	1165	0.0177767605
386.000000	1169	0.0178377966
387.000000	1297	0.0197909514
388.000000	1400	0.0213626307
389.000000	1266	0.0193179217
390.000000	1329	0.0202792401
391.000000	1047	0.0159761959
392.000000	1257	0.0191805905
393.000000	1063	0.0162203403
394.000000	1470	0.0224307622
395.000000	1096	0.0167238880
396.000000	1176	0.0179446098
397.000000	1447	0.0220798047
398.000000	1444	0.0220340276
399.000000	1428	0.0217898833
400.000000	982	0.0149843595
401.000000	1095	0.0167086290
402.000000	1252	0.0191042954
403.000000	1114	0.0169985504
404.000000	1176	0.0179446098
405.000000	1083	0.0165255207
406.000000	1341	0.0204623484
407.000000	1436	0.0219119554
408.000000	1517	0.0231479362
409.000000	1394	0.0212710765
410.000000	1409	0.0214999619
411.000000	1300	0.0198367285
412.000000	1249	0.0190585183
413.000000	1250	0.0190737774
414.000000	1050	0.0160219730
415.000000	1347	0.0205539025
416.000000	1440	0.0219729915
417.000000	1215	0.0185397116
418.000000	1160	0.0177004654
419.000000	1132	0.0172732128
420.000000	1316	0.0200808728
421.000000	937	0.0142977035
422.000000	1365	0.0208285649
423.000000	1382	0.0210879683
424.000000	1057	0.0161287861
425.000000	1282	0.0195620661
426.000000	1661	0.0253452354
427.000000	1317	0.0200961318
428.000000	1314	0.0200503548
429.000000	959	0.0146334020
430.000000	1518	0.0231631952
431.000000	1274	0.0194399939
432.000000	1187	0.0181124590
433.000000	1384	0.0211184863
434.000000	1470	0.0224307622
435.000000	1371	0.0209201190
436.000000	1450	0.0221255818
437.000000	1439	0.0219577325
438.000000	1236	0.0188601511
439.000000	1243	0.0189669642
440.000000	1115	0.0170138094
441.000000	1442	0.0220035096
442.000000	1449	0.0221103227
443.000000	1599	0.0243991760
444.000000	1354	0.0206607156
445.000000	1195	0.0182345312
446.000000	1091	0.0166475929
447.000000	1238	0.0188906691
448.000000	1401	0.0213778897
449.000000	1359	0.0207370108
450.000000	1229	0.0187533379
451.000000	1159	0.0176852064
452.000000	1085	0.0165560388
453.000000	1394	0.0212710765
454.000000	1328	0.0202639811
455.000000	1202	0.0183413443
456.000000	1762	0.0268863966
457.000000	1482	0.0226138705
458.000000	1546	0.0235904479
459.000000	1115	0.0170138094
460.000000	1528	0.0233157855
461.000000	1388	0.0211795224
462.000000	1270	0.0193789578
463.000000	1283	0.0195773251
464.000000	1078	0.0164492256
465.000000	1283	0.0195773251
466.000000	1247	0.0190280003
467.000000	1606	0.0245059892
468.000000	1229	0.0187533379
469.000000	1464	0.0223392081
470.000000	1107	0.0168917372
471.000000	1272	0.0194094759
472.000000	1402	0.0213931487
473.000000	1331	0.0203097581
474.000000	1372	0.0209353780
475.000000	929	0.0141756313
476.000000	1303	0.0198825055
477.000000	1283	0.0195773251
478.000000	1297	0.0197909514
479.000000	1340	0.0204470893
480.000000	1591	0.0242771038
481.000000	1558	0.0237735561
482.000000	1522	0.0232242313
483.000000	1629	0.0248569467
484.000000	1301	0.0198519875
485.000000	1227	0.0187228199
486.000000	1263	0.0192721447
487.000000	1424	0.0217288472
488.000000	1624	0.0247806516
489.000000	1450	0.0221255818
490.000000	1640	0.0250247959
491.000000	1196	0.0182497902
492.000000	1415	0.0215915160
493.000000	1589	0.0242465858
494.000000	1247	0.0190280003
495.000000	1244	0.0189822232
496.000000	1291	0.0196993973
497.000000	1357	0.0207064927
498.000000	1368	0.0208743420
499.000000	1074	0.0163881895
500.000000	1511	0.0230563821
501.000000	1257	0.0191805905
502.000000	1029	0.0157015335
503.000000	1187	0.0181124590
504.000000	1099	0.0167696651
505.000000	933	0.0142366674
506.000000	1033	0.0157625696
507.000000	1309	0.0199740597
508.000000	1310	0.0199893187
509.000000	1081	0.0164950027
510.000000	1457	0.0222323949
511.000000	1220	0.0186160067
512.000000	1229	0.0187533379
513.000000	1380	0.0210574502
514.000000	1496	0.0228274968
515.000000	1198	0.0182803082
516.000000	1306	0.0199282826
517.000000	1070	0.0163271534
518.000000	1095	0.0167086290
519.000000	1377	0.0210116732
520.000000	1520	0.0231937133
521.000000	1294	0.0197451743
522.000000	1653	0.0252231632
523.000000	1370	0.0209048600
524.000000	1104	0.0168459602
525.000000	1006	0.0153505760
526.000000	1406	0.0214541848
527.000000	1409	0.0214999619
528.000000	1556	0.0237430381
529.000000	1329	0.0202792401
530.000000	1452	0.0221560998
531.000000	1410	0.0215152209
532.000000	1522	0.0232242313
533.000000	1218	0.0185854887
534.000000	1574	0.0240177005
535.000000	1545	0.0235751888
536.000000	1559	0.0237888151
537.000000	1412	0.0215457389
538.000000	1520	0.0231937133
539.000000	1612	0.0245975433
540.000000	1675	0.0255588617
541.000000	1456	0.0222171359
542.000000	1383	0.0211032273
543.000000	1697	0.0258945602
544.000000	1402	0.0213931487
545.000000	1663	0.0253757534
546.000000	1376	0.0209964141
547.000000	1629	0.0248569467
548.000000	1556	0.0237430381
549.000000	1262	0.0192568856
550.000000	1575	0.0240329595
551.000000	1624	0.0247806516
552.000000	1519	0.0231784543
553.000000	1417	0.0216220340
554.000000	1684	0.0256961929
