# pixel_index	counts_u16	rel_intensity
439.000000	1397	0.0213168536
440.000000	1544	0.0235599298
441.000000	1556	0.0237430381
442.000000	1670	0.0254825666
443.000000	1497	0.0228427558
444.000000	1862	0.0284122988
445.000000	1632	0.0249027237
446.000000	1291	0.0196993973
447.000000	1492	0.0227664607
448.000000	1355	0.0206759747
449.000000	1757	0.0268101015
450.000000	1458	0.0222476539
451.000000	1577	0.0240634775
452.000000	1523	0.0232394903
453.000000	1665	0.0254062715
454.000000	1621	0.0247348745
455.000000	1395	0.0212863355
456.000000	1255	0.0191500725
457.000000	1503	0.0229343099
458.000000	1342	0.0204776074
459.000000	1172	0.0178835737
460.000000	1682	0.0256656748
461.000000	1268	0.0193484398
462.000000	1341	0.0204623484
463.000000	1413	0.0215609979
464.000000	1294	0.0197451743
465.000000	1523	0.0232394903
466.000000	1563	0.0238498512
467.000000	1360	0.0207522698
468.000000	1712	0.0261234455
469.000000	1396	0.0213015946
470.000000	1602	0.0244449531
471.000000	1411	0.0215304799
472.000000	1571	0.0239719234
473.000000	1456	0.0222171359
474.000000	1389	0.0211947814
475.000000	1602	0.0244449531
476.000000	1475	0.0225070573
477.000000	1721	0.0262607767
478.000000	1400	0.0213626307
479.000000	1543	0.0235446708
480.000000	1405	0.0214389258
481.000000	1496	0.0228274968
482.000000	1341	0.0204623484
483.000000	1688	0.0257572290
484.000000	1397	0.0213168536
485.000000	1489	0.0227206836
486.000000	1571	0.0239719234
487.000000	1150	0.0175478752
488.000000	1639	0.0250095369
489.000000	1518	0.0231631952
490.000000	1522	0.0232242313
491.000000	1703	0.0259861143
492.000000	1617	0.0246738384
493.000000	1629	0.0248569467
494.000000	1450	0.0221255818
495.000000	1466	0.0223697261
496.000000	1404	0.0214236667
497.000000	1445	0.0220492866
498.000000	1488	0.0227054246
499.000000	1206	0.0184023804
500.000000	1548	0.0236209659
501.000000	1528	0.0233157855
502.000000	1690	0.0257877470
503.000000	1552	0.0236820020
504.000000	1770	0.0270084688
505.000000	1456	0.0222171359
506.000000	1466	0.0223697261
507.000000	1417	0.0216220340
508.000000	1641	0.0250400549
509.000000	1441	0.0219882506
510.000000	1514	0.0231021592
511.000000	1599	0.0243991760
512.000000	1534	0.0234073396
513.000000	1479	0.0225680934
514.000000	1240	0.0189211872
515.000000	1723	0.0262912947
516.000000	1695	0.0258640421
517.000000	1840	0.0280766003
518.000000	1486	0.0226749065
519.000000	1458	0.0222476539
520.000000	1385	0.0211337453
521.000000	1592	0.0242923629
522.000000	1597	0.0243686580
523.000000	1468	0.0224002441
524.000000	1402	0.0213931487
525.000000	1499	0.0228732738
526.000000	1550	0.0236514839
527.000000	1505	0.0229648280
528.000000	1468	0.0224002441
529.000000	1550	0.0236514839
530.000000	1473	0.0224765393
531.000000	1376	0.0209964141
532.000000	1731	0.0264133669
533.000000	1447	0.0220798047
534.000000	1491	0.0227512016
535.000000	1741	0.0265659571
536.000000	1501	0.0229037919
537.000000	1766	0.0269474327
538.000000	1451	0.0221408408
539.000000	1709	0.0260776684
540.000000	1618	0.0246890974
541.000000	1834	0.0279850462
542.000000	1390	0.0212100404
543.000000	1579	0.0240939956
544.000000	1331	0.0203097581
545.000000	1383	0.0211032273
546.000000	1295	0.0197604334
547.000000	1541	0.0235141527
548.000000	1541	0.0235141527
549.000000	1424	0.0217288472
550.000000	1477	0.0225375753
551.000000	1957	0.0298619059
552.000000	1868	0.0285038529
553.000000	1842	0.0281071183
554.000000	1635	0.0249485008
555.000000	2416	0.0368657969
556.000000	2174	0.0331731136
557.000000	2099	0.0320286870
558.000000	1355	0.0206759747
559.000000	1571	0.0239719234
560.000000	1942	0.0296330205
561.000000	1817	0.0277256428
562.000000	1624	0.0247806516
563.000000	1457	0.0222323949
564.000000	1874	0.0285954070
565.000000	1695	0.0258640421
566.000000	1695	0.0258640421
567.000000	1738	0.0265201801
568.000000	1707	0.0260471504
569.000000	1274	0.0194399939
570.000000	1697	0.0258945602
571.000000	1976	0.0301518273
572.000000	1862	0.0284122988
573.000000	1831	0.0279392691
574.000000	2140	0.0326543069
575.000000	2296	0.0350347143
576.000000	2723	0.0415503166
577.000000	2625	0.0400549325
578.000000	2016	0.0307621881
579.000000	1795	0.0273899443
580.000000	1698	0.0259098192
581.000000	1922	0.0293278401
582.000000	1644	0.0250858320
583.000000	1908	0.0291142138
584.000000	2004	0.0305790799
585.000000	1962	0.0299382010
586.000000	3507	0.0535133898
587.000000	5366	0.0818799115
588.000000	7546	0.1151445792
589.000000	6814	0.1039749752
590.000000	1858	0.0283512627
591.000000	1689	0.0257724880
592.000000	1243	0.0189669642
593.000000	1377	0.0210116732
